D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
1984,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,499.71,,4,4200.0,14,16800.0,0,0.0,11784.0,0.0,0.0,58800.0,0.0,3.0,0.24,1.25,,0.29,0.29,0.6,0.6,0.99,,,,1.0,1.0,1.0,0,3,,,,,10.6,516370.0,116599.0,499.71,210.0,2800.0,2800.0,1
1996,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2725.0,545.0,0,0.0,18,49303.0,0,0.0,0.0,0.0,0.0,675000.0,0.0,2.0,0.26,1.25,0.26,0.64,0.64,0.66,0.49,0.74,,,,1.0,1.0,1.0,0,18,0.4,1.3,,,18.0,2930000.0,817500.0,2725.0,245.0,2800.0,2800.0,0
1986,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,86.18,0.0,0,0.0,4,7650.0,0,0.0,0.0,138000.0,0.0,94550.0,0.0,2.0,0.35,1.25,0.35,0.3,0.3,0.88,0.62,0.71,,,,1.0,0.0,0.0,0,3,0.21,3.7,,,10.8,71812.5,20107.5,86.18,169.44,2800.0,2800.0,0
1986,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,3379.57,,0,0.0,31,87000.0,0,0.0,0.0,0.0,33600.0,97200.0,0.0,3.0,0.24,1.25,,0.49,0.49,,,,,,,2.0,1.0,1.0,0,3,,,,,16.0,2529280.0,752740.0,3010.96,210.0,2800.0,2800.0,1
1974,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1664.72,0.0,0,0.0,23,27456.0,16,15360.0,20664.0,42336.0,3288.0,95376.0,8016.0,3.0,0.32,1.25,0.32,0.31,0.31,0.8,0.68,0.84,,,,1.0,1.0,1.0,0,3,0.02,3.5,,,11.15,1603270.0,550800.0,1836.0,192.33,2800.0,2800.0,1
1995,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7055.04,652.5,16,34872.0,74,182302.0,5,12000.0,89040.0,87000.0,0.0,105120.0,0.0,2.0,0.28,1.25,0.28,0.62,0.62,0.7,0.52,0.74,,,,1.0,1.0,1.0,0,5,0.15,3.8,,,15.85,6515551.0,2116515.0,7055.05,198.0,2800.0,2800.0,1
1971,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3406.64,0.0,0,0.0,73,108125.0,0,0.0,0.0,0.0,0.0,4630500.0,0.0,4.0,0.24,1.25,0.24,0.52,0.52,0.6,0.78,1.3,,,,1.0,1.0,1.0,0,7,0.09,5.0,,,14.35,2914496.0,822006.0,3314.16,146.95,2800.0,2800.0,1
1980,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,858.8,224.7,0,0.0,14,24500.0,0,0.0,0.0,0.0,0.0,35040.0,0.0,4.0,0.24,1.25,0.24,0.53,0.53,0.6,0.6,1.3,,,,1.0,1.0,1.0,5,21,0.72,7.4,,,15.0,705990.0,175730.0,836.6,97.85,2520.0,2520.0,1
1998,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,3121.84,808.66,11,38500.0,24,79875.0,0,0.0,0.0,0.0,117284.0,0.0,0.0,4.0,0.24,1.25,0.24,0.64,0.64,0.6,0.78,1.3,,,,1.0,1.0,0.0,0,13,0.23,2.3,,,19.2,3505528.0,684345.5,2880.82,199.75,4200.0,2800.0,0
1968,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,3812.0,,16,32400.0,66,148500.0,0,0.0,114000.0,0.0,0.0,140400.0,0.0,4.0,0.24,1.25,,0.51,0.51,0.6,0.63,1.05,,,,1.0,1.0,0.0,0,16,,,,,14.08,3680988.0,916975.0,3812.0,140.5,2800.0,2800.0,0
